dt;AverageTemperature;AverageTemperatureUncertainty;Country
11/1743;8.62;2.268;Albania
12/1743;;;Albania
01/1744;;;Albania
02/1744;;;Albania
03/1744;;;Albania
04/1744;0.013574999999999999;2.355;Albania
05/1744;0.014782;2.196;Albania
06/1744;0.019079000000000002;2.221;Albania
07/1744;0.021706;2.233;Albania
08/1744;;;Albania
09/1744;0.017694;2.256;Albania
10/1744;0.012499;2.252;Albania
11/1744;8.728;2.1830000000000003;Albania
12/1744;4.432;2.248;Albania
01/1745;1.665;2.246;Albania
02/1745;3.61;2.169;Albania
03/1745;6.005;2.132;Albania
04/1745;0.011073000000000001;2.129;Albania
05/1745;;;Albania
06/1745;;;Albania
07/1745;;;Albania
08/1745;;;Albania
09/1745;;;Albania
10/1745;;;Albania
11/1745;;;Albania
12/1745;;;Albania
01/1746;;;Albania
02/1746;;;Albania
03/1746;;;Albania
04/1746;;;Albania
05/1746;;;Albania
06/1746;;;Albania
07/1746;;;Albania
08/1746;;;Albania
09/1746;;;Albania
10/1746;;;Albania
11/1746;;;Albania
12/1746;;;Albania
01/1747;;;Albania
02/1747;;;Albania
03/1747;;;Albania
04/1747;;;Albania
05/1747;;;Albania
06/1747;;;Albania
07/1747;;;Albania
08/1747;;;Albania
09/1747;;;Albania
10/1747;;;Albania
11/1747;;;Albania
12/1747;;;Albania
01/1748;;;Albania
02/1748;;;Albania
03/1748;;;Albania
04/1748;;;Albania
05/1748;;;Albania
06/1748;;;Albania
07/1748;;;Albania
08/1748;;;Albania
09/1748;;;Albania
10/1748;;;Albania
11/1748;;;Albania
12/1748;;;Albania
01/1749;;;Albania
02/1749;;;Albania
03/1749;;;Albania
04/1749;;;Albania
05/1749;;;Albania
06/1749;;;Albania
07/1749;;;Albania
08/1749;;;Albania
09/1749;;;Albania
10/1749;;;Albania
11/1749;;;Albania
12/1749;;;Albania
01/1750;3.6;2.112;Albania
02/1750;5.551;2.3080000000000003;Albania
03/1750;8.859;2.452;Albania
04/1750;0.011390999999999998;2.122;Albania
05/1750;0.015964;2.221;Albania
06/1750;0.019712;2.201;Albania
07/1750;0.023893;2.175;Albania
08/1750;0.022359;2.123;Albania
09/1750;0.017770999999999995;2.138;Albania
10/1750;0.011089;2.17;Albania
11/1750;;;Albania
12/1750;3.888;2.234;Albania
01/1751;2.912;2.26;Albania
02/1751;2.2840000000000003;2.421;Albania
03/1751;8.849;2.256;Albania
04/1751;0.010599;2.152;Albania
05/1751;;;Albania
06/1751;0.020898000000000003;2.24;Albania
07/1751;0.023081;2.137;Albania
08/1751;0.022675;2.111;Albania
09/1751;0.017288;2.106;Albania
10/1751;;;Albania
11/1751;;;Albania
12/1751;;;Albania
01/1752;1.4019999999999997;2.444;Albania
02/1752;;;Albania
03/1752;8.687000000000001;2.318;Albania
04/1752;0.011087999999999999;2.311;Albania
05/1752;;;Albania
06/1752;;;Albania
07/1752;;;Albania
08/1752;;;Albania
09/1752;;;Albania
10/1752;0.01264;2.261;Albania
11/1752;9.853;2.209;Albania
12/1752;5.769;2.219;Albania
01/1753;1.4;5.869;Albania
02/1753;2.655;3.32;Albania
03/1753;8.505;2.878;Albania
04/1753;0.011541000000000001;5.577999999999999;Albania
05/1753;0.016642;2.26;Albania
06/1753;0.02209800000000001;2.241;Albania
07/1753;0.023532;2.071;Albania
08/1753;0.02177;5.009;Albania
09/1753;0.018699999999999998;2.028;Albania
10/1753;0.013661;2.02;Albania
11/1753;7.593;2.629;Albania
12/1753;2.587;2.864;Albania
01/1754;1.4089999999999998;3.19;Albania
02/1754;0.5350000000000001;4.673;Albania
03/1754;5.484;3.52;Albania
04/1754;0.0132;6.053999999999999;Albania
05/1754;0.016776;3.264;Albania
06/1754;0.021290000000000007;2.056;Albania
07/1754;0.022438;2.5660000000000003;Albania
08/1754;0.022083;3.792;Albania
09/1754;0.017980999999999994;3.016;Albania
10/1754;0.014695;2.449;Albania
11/1754;9.592;2.087;Albania
12/1754;5.095;2.442;Albania
01/1755;-1.027;5.048;Albania
02/1755;0.6369999999999996;4.382;Albania
03/1755;7.1450000000000005;4.043;Albania
04/1755;0.014137;3.969;Albania
05/1755;0.017089000000000003;2.9610000000000003;Albania
06/1755;0.022763000000000002;3.762;Albania
07/1755;0.022523000000000005;2.164;Albania
08/1755;0.021218000000000004;2.798;Albania
