dt,LandAverageTemperature
1900/01,-1.461
1900/02,3.0980000000000003
1900/03,5.492000000000001
1900/04,8.222999999999999
1900/05,11.385
1900/06,13.293
1900/07,14.171
1900/08,13.816
1900/09,11.955
1900/10,9.666
1900/11,5.803999999999999
1900/12,3.655
1901/01,2.1910000000000003
1901/02,3.092
1901/03,5.671
1901/04,8.522
1901/05,11.178
1901/06,13.423
1901/07,14.339
1901/08,13.789
1901/09,11.984000000000002
1901/10,9.003
1901/11,5.976
1901/12,3.335
1902/01,2.684
1902/02,3.606
1902/03,4.883
1902/04,7.955999999999999
1902/05,10.893
1902/06,13.214
1902/07,14.231
1902/08,13.599
1902/09,11.799
1902/10,8.801
1902/11,5.274
1902/12,2.713
1903/01,2.514
1903/02,3.555
1903/03,4.93
1903/04,7.831999999999999
1903/05,10.794
1903/06,12.886
1903/07,13.992
1903/08,13.412
1903/09,11.501
1903/10,8.812000000000001
1903/11,5.516
1903/12,2.898
1904/01,1.6369999999999998
1904/02,2.297
1904/03,4.506
1904/04,7.683999999999998
1904/05,10.84
1904/06,13.014
1904/07,13.836
1904/08,13.459
1904/09,11.380999999999998
1904/10,8.833
1904/11,6.23
1904/12,3.374
1905/01,2.254
1905/02,1.927
1905/03,4.635
1905/04,7.754999999999999
1905/05,10.982
1905/06,13.112
1905/07,14.077
1905/08,13.578
1905/09,11.803999999999998
1905/10,9.041
1905/11,6.183
1905/12,3.354
1906/01,2.068
1906/02,2.301
1906/03,4.8660000000000005
1906/04,8.626
1906/05,11.239999999999998
1906/06,13.334
1906/07,14.122
1906/08,13.691
1906/09,11.771999999999998
1906/10,9.267
1906/11,5.501
1906/12,3.761
1907/01,1.798
1907/02,2.117
1907/03,4.575
1907/04,7.579
1907/05,10.375
1907/06,12.729
1907/07,13.769
1907/08,13.362
1907/09,11.665
1907/10,9.234
1907/11,5.207000000000001
1907/12,2.9560000000000004
1908/01,2.3040000000000003
1908/02,2.769
1908/03,4.136
1908/04,7.831999999999999
1908/05,11.140999999999998
1908/06,13.293
1908/07,14.197
1908/08,13.376
1908/09,11.977
1908/10,8.865
1908/11,5.272
1908/12,3.071
1909/01,1.395
1909/02,2.7060000000000004
1909/03,4.589
1909/04,7.534
1909/05,10.611
1909/06,12.962
1909/07,14.06
1909/08,13.752
1909/09,11.879
1909/10,9.192
1909/11,6.236000000000001
1909/12,3.2230000000000003
1910/01,2.333
1910/02,2.779
1910/03,4.606
1910/04,8.104999999999999
1910/05,11.005
1910/06,13.151
1910/07,14.279000000000002
1910/08,13.677
1910/09,11.733
1910/10,9.006
1910/11,5.318
1910/12,2.684
1911/01,1.66
1911/02,2.4530000000000003
1911/03,4.347
1911/04,7.989999999999998
1911/05,10.829
1911/06,13.009
1911/07,14.082
1911/08,13.499
1911/09,11.638
1911/10,9.263
1911/11,5.964
1911/12,3.39
1912/01,2.402
1912/02,3.354
1912/03,4.356
1912/04,8.229
1912/05,11.254
1912/06,13.435
1912/07,13.723
1912/08,13.053
1912/09,11.222
1912/10,8.366999999999999
1912/11,5.521
1912/12,3.069
1913/01,2.083
1913/02,2.376
1913/03,4.517
1913/04,8.023
1913/05,10.745
1913/06,13.005
1913/07,14.137
1913/08,13.724
1913/09,11.759
1913/10,9.077
1913/11,6.024
1913/12,4.103
1914/01,3.3760000000000003
1914/02,3.2
1914/03,4.942
1914/04,8.097999999999999
1914/05,11.284999999999998
1914/06,13.496
1914/07,14.298
1914/08,13.73
1914/09,11.915
1914/10,9.387
1914/11,5.759
1914/12,3.6
1915/01,2.299
1915/02,3.265
1915/03,5.143
1915/04,8.705
1915/05,11.493
1915/06,13.3
1915/07,14.443
1915/08,13.77
1915/09,11.867
1915/10,8.984
1915/11,6.216
1915/12,3.633
1916/01,2.616
1916/02,2.957
1916/03,4.846
1916/04,8.046999999999999
1916/05,10.972
1916/06,12.942
1916/07,14.052
1916/08,13.58
1916/09,11.726
1916/10,9.053
1916/11,5.596
1916/12,2.316
1917/01,2.133
1917/02,2.36
1917/03,4.488
1917/04,7.854999999999999
1917/05,10.443
1917/06,12.915
1917/07,14.259
1917/08,13.470999999999998
1917/09,11.745
1917/10,8.544
1917/11,5.82
1917/12,2.247
1918/01,1.934
1918/02,2.455
1918/03,4.811
1918/04,7.643999999999999
1918/05,10.54
1918/06,12.908
1918/07,14.002
1918/08,13.431
1918/09,11.880999999999998
1918/10,9.433
1918/11,5.683
1918/12,2.8480000000000003
1919/01,2.184
1919/02,2.852
1919/03,4.743
1919/04,8.487
1919/05,10.969
1919/06,13.228
1919/07,14.274
1919/08,13.786
1919/09,11.989999999999998
1919/10,9.361
1919/11,5.489
1919/12,3.224
1920/01,2.841
1920/02,2.755
1920/03,5.227
1920/04,8.293
1920/05,11.130999999999998
1920/06,13.105
1920/07,14.245
1920/08,13.698
1920/09,11.794
1920/10,9.021
1920/11,5.566
1920/12,2.629
1921/01,2.98
1921/02,3.125
1921/03,5.081
1921/04,8.324
1921/05,11.245
1921/06,13.44
1921/07,14.436
1921/08,13.561
1921/09,11.869000000000002
1921/10,9.264
1921/11,5.864
1921/12,3.663
1922/01,2.15
1922/02,2.376
1922/03,5.156000000000001
1922/04,8.379999999999999
1922/05,11.097
1922/06,13.331
1922/07,14.278
1922/08,13.584
1922/09,11.775
1922/10,9.056
1922/11,6.046
1922/12,3.667
1923/01,2.487
1923/02,2.563
1923/03,4.8660000000000005
1923/04,7.749
1923/05,10.848999999999998
1923/06,13.296
1923/07,13.984000000000002
1923/08,13.611
1923/09,11.883
1923/10,9.52
1923/11,6.377999999999999
1923/12,3.88
1924/01,2.339
1924/02,2.888
1924/03,5.352
1924/04,7.97
1924/05,11.188
1924/06,13.342
1924/07,14.304
1924/08,13.654000000000002
1924/09,11.957
1924/10,9.203
1924/11,6.4
1924/12,3.485
1925/01,2.268
1925/02,2.701
1925/03,5.126
1925/04,8.442
1925/05,11.039
1925/06,13.089
1925/07,14.066
1925/08,13.769
1925/09,11.979
1925/10,9.196
1925/11,6.34
1925/12,4.398
1926/01,3.4530000000000003
1926/02,3.717
1926/03,5.831
1926/04,8.193
1926/05,10.931
1926/06,13.285
1926/07,14.168
1926/08,13.877
1926/09,12.075
1926/10,9.55
1926/11,6.3
1926/12,3.366
1927/01,2.372
1927/02,3.039
1927/03,4.668
1927/04,8.035
1927/05,11.104
1927/06,13.271999999999998
1927/07,14.323
1927/08,13.698
1927/09,12.254
1927/10,9.887
1927/11,6.346
1927/12,3.267
1928/01,3.0460000000000003
1928/02,3.333
1928/03,4.959
1928/04,8.244
1928/05,11.169
1928/06,13.113
1928/07,14.31
1928/08,13.687
1928/09,12.03
1928/10,9.486
1928/11,6.336
1928/12,3.873
1929/01,2.0540000000000003
1929/02,2.172
1929/03,5.099
1929/04,8.094
1929/05,10.915
1929/06,12.928
1929/07,13.957
1929/08,13.68
1929/09,11.807
1929/10,9.46
1929/11,6.172000000000001
1929/12,2.571
1930/01,2.401
1930/02,3.152
1930/03,5.483
1930/04,8.181999999999999
1930/05,11.105
1930/06,13.347
