dt,LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty
01/01/1750,3.0340000000000003,3.574,,,,,,
01/02/1750,3.083,3.702,,,,,,
01/03/1750,5.626,3.076,,,,,,
01/04/1750,8.49,2.451,,,,,,
01/05/1750,11.573,2.072,,,,,,
01/06/1750,12.937,1.724,,,,,,
01/07/1750,15.868,1.911,,,,,,
01/08/1750,14.75,2.231,,,,,,
01/09/1750,11.412999999999998,2.637,,,,,,
01/10/1750,6.366999999999999,2.668,,,,,,
01/11/1750,,,,,,,,
01/12/1750,2.772,2.97,,,,,,
01/01/1751,2.495,3.469,,,,,,
01/02/1751,0.963,3.827,,,,,,
01/03/1751,5.8,3.051,,,,,,
01/04/1751,7.67,2.3680000000000003,,,,,,
01/05/1751,,,,,,,,
01/06/1751,13.827,1.801,,,,,,
01/07/1751,,,,,,,,
01/08/1751,14.405,2.296,,,,,,
01/09/1751,10.673,2.656,,,,,,
01/10/1751,,,,,,,,
01/11/1751,,,,,,,,
01/12/1751,,,,,,,,
01/01/1752,0.3480000000000003,3.789,,,,,,
01/02/1752,,,,,,,,
01/03/1752,5.806,3.192,,,,,,
01/04/1752,8.264999999999999,2.398,,,,,,
01/05/1752,,,,,,,,
01/06/1752,,,,,,,,
01/07/1752,,,,,,,,
01/08/1752,,,,,,,,
01/09/1752,,,,,,,,
01/10/1752,7.838999999999999,2.754,,,,,,
01/11/1752,7.335,2.747,,,,,,
01/12/1752,5.086,2.982,,,,,,
01/01/1753,2.039,3.478,,,,,,
01/02/1753,0.7149999999999999,6.341,,,,,,
01/03/1753,5.424,2.929,,,,,,
01/04/1753,8.272,3.177,,,,,,
01/05/1753,12.186,3.111,,,,,,
01/06/1753,14.585,2.59,,,,,,
01/07/1753,15.092,1.929,,,,,,
01/08/1753,14.148,2.4530000000000003,,,,,,
01/09/1753,13.322,2.5380000000000003,,,,,,
01/10/1753,8.962,2.585,,,,,,
01/11/1753,5.353,2.807,,,,,,
01/12/1753,0.5589999999999997,4.174,,,,,,
01/01/1754,1.574,5.02,,,,,,
01/02/1754,-1.2489999999999997,7.492000000000001,,,,,,
01/03/1754,3.677,3.3360000000000003,,,,,,
01/04/1754,11.61,3.293,,,,,,
01/05/1754,11.936,3.937,,,,,,
01/06/1754,14.388,3.366,,,,,,
01/07/1754,14.681,2.401,,,,,,
01/08/1754,13.556,1.892,,,,,,
01/09/1754,11.129,2.318,,,,,,
01/10/1754,9.582,2.529,,,,,,
01/11/1754,6.1610000000000005,3.048,,,,,,
01/12/1754,4.587,3.299,,,,,,
01/01/1755,1.067,4.6930000000000005,,,,,,
01/02/1755,-0.1080000000000001,5.857,,,,,,
01/03/1755,3.607,3.909,,,,,,
01/04/1755,9.263,3.372,,,,,,
01/05/1755,12.880999999999998,4.151,,,,,,
01/06/1755,15.38,5.322,,,,,,
01/07/1755,14.397,1.936,,,,,,
01/08/1755,13.515,2.381,,,,,,
01/09/1755,11.773,3.4160000000000004,,,,,,
01/10/1755,9.97,3.931,,,,,,
01/11/1755,5.957999999999999,4.021,,,,,,
01/12/1755,2.564,3.215,,,,,,
01/01/1756,3.887,3.513,,,,,,
01/02/1756,5.666,4.265,,,,,,
01/03/1756,4.192,5.574,,,,,,
01/04/1756,10.042,3.752,,,,,,
01/05/1756,14.163999999999998,2.608,,,,,,
01/06/1756,14.547,3.213,,,,,,
01/07/1756,13.906,2.192,,,,,,
01/08/1756,13.437,2.175,,,,,,
01/09/1756,12.652,2.954,,,,,,
01/10/1756,7.3119999999999985,2.201,,,,,,
01/11/1756,4.225,2.86,,,,,,
01/12/1756,2.165,3.841,,,,,,
01/01/1757,-0.2760000000000002,4.022,,,,,,
01/02/1757,3.704,4.261,,,,,,
01/03/1757,4.529,3.638,,,,,,
01/04/1757,8.245999999999999,4.303999999999999,,,,,,
01/05/1757,13.039,4.98,,,,,,
01/06/1757,17.115,4.59,,,,,,
01/07/1757,17.61,4.322,,,,,,
01/08/1757,17.91,4.035,,,,,,
01/09/1757,14.852,3.189,,,,,,
01/10/1757,6.481999999999998,3.173,,,,,,
01/11/1757,4.032,2.643,,,,,,
01/12/1757,1.0210000000000004,5.155,,,,,,
01/01/1758,-1.5029999999999997,7.349,,,,,,
01/02/1758,0.8059999999999999,3.753,,,,,,
01/03/1758,3.765,3.3680000000000003,,,,,,
01/04/1758,7.209999999999999,2.986,,,,,,
01/05/1758,9.715,3.091,,,,,,
01/06/1758,13.139,2.055,,,,,,
01/07/1758,13.847,3.608,,,,,,
01/08/1758,11.818,2.979,,,,,,
01/09/1758,10.028,2.347,,,,,,
01/10/1758,1.8939999999999992,2.332,,,,,,
01/11/1758,6.955,3.2430000000000003,,,,,,
01/12/1758,3.249,3.244,,,,,,
01/01/1759,5.013999999999999,3.673,,,,,,
01/02/1759,4.082,5.966,,,,,,
01/03/1759,4.52,3.958,,,,,,
01/04/1759,5.983,3.159,,,,,,
01/05/1759,10.189,2.503,,,,,,
01/06/1759,13.512,2.232,,,,,,
01/07/1759,12.526,2.65,,,,,,
01/08/1759,14.587,5.626,,,,,,
01/09/1759,12.626,3.235,,,,,,
01/10/1759,8.267000000000001,2.983,,,,,,
01/11/1759,4.268000000000002,3.167,,,,,,
01/12/1759,0.2469999999999999,4.995,,,,,,
01/01/1760,-0.8109999999999999,4.567,,,,,,
01/02/1760,2.436,3.535,,,,,,
01/03/1760,1.864,4.666,,,,,,
01/04/1760,7.435999999999999,2.669,,,,,,
01/05/1760,10.661,1.857,,,,,,
01/06/1760,11.945,2.14,,,,,,
01/07/1760,12.887,2.567,,,,,,
01/08/1760,13.917,2.789,,,,,,
01/09/1760,11.197,3.865,,,,,,
01/10/1760,6.7010000000000005,3.422,,,,,,
01/11/1760,5.436,2.3480000000000003,,,,,,
01/12/1760,2.553,2.642,,,,,,
01/01/1761,0.6000000000000001,4.779,,,,,,
01/02/1761,2.735,3.775,,,,,,
01/03/1761,5.976,3.225,,,,,,
01/04/1761,7.321000000000001,1.652,,,,,,
01/05/1761,13.451,1.709,,,,,,
